text,stars,complaint_category,complaint_label
"was it worth the 21 for a salad and small pizza? absolutely not! bad service. maybe the guys grandma died i don't know. i want to tell you what really made me mad about the experience. we order the small pizza and salad and the guys could have cared less and took our and we sat down. we were looking around and hmm, there's a sign saying ""x large pizza and large salad only 23 "". wow that would have been nice if the guy told us that. i left hungry, mad and unsatisfied. to the owner teach your employees the value of upselling and telling the specials. something so small can affect a customers experience negatively. and your salads are severely overpriced won't go back unless i'm desperate.",2,Food Quality,0
"u can go there n check the car out. if u wanna buy 1 there? that's wrong move! if u even want a car service from there? u made a biggest mistake of ur life! i had 1 time asked my girlfriend to take my car there for an oil service, guess what? they ripped my girlfriend off by lying how bad my car is now. if without fixing the problem. might bring some serious accident. then she did what they said. 4 brand new tires, timing belt, 4 new brake pads. u know why's the worst? all of those above i had just changed 2 months before! what a trashy dealer is that? people, better off go somewhere!",1,Service Delay,1
disgusting! had a groupon so my daughter and i tried it out. very outdated and gaudy 80's style interior made me feel like i was in an episode of sopranos. the food itself was pretty bad. we ordered pretty simple dishes but they just had no flavor at all! after trying it out i'm positive all the good reviews on here are employees or owners creating them.,1,Food Quality,0
"i've eaten here many times, but none as bad as last night. service was excellent, and highly attentive. food, absolutely horrible. my expectation was they would serve a steak on par with their seafood. after all, they were charging 39 bucks for a ribeye. what i was hoping for was a 1- 1-1 2' thick steak, cooked pittsburgh style as i had ordered. what i got a a 3 4 in thick piece of meat that was mostly fat, gristle, and in no way resembled pittsburgh style. salad, similar to something you could get at chick filet veggies, blah. bread basket, ample, but day old, and if not, it certainly wasn't fresh. in addition to bad food, we were crammed into a small room where we were nuts to butts with 6 other tables, listening to conversations ranging from someone's recent bout with pinkeye, and another couple who elected to speak entirely in french, until the waiter showed up, then it was like they turned off the french switch and suddenly began speaking english. i've had it with this place. if i'm going to pay 150 bucks for dinner, it'll be at mortons, or maestro where the steaks are 1-1 2 in thick, cooked to perfection, and half of it doesnt wind up on the plate as fat and gristle",1,Food Quality,0
"i have to add to andrew's review. i just can't believe the things that happened! yes the app was good. the entree was good too, but there were bites of just bread with no chicken in the panini. it definitely would have been better with more chicken! but the girl working here is one of the worst waitress bartender hostesses ever! when we walked in, she didn't even sit us. we stood there forever waiting until she finally told us to seat ourselves. we went outside since there was nothing left inside. it was too hot outside so we came back in and figured we'd sit at the bar. luckily a nice guy noticed us looking around and let us sit at the end of his table that he moved apart since his whole party didn't show up for dinner. i was so excited when i saw they had cider on their menu! and not just one, but two that i like! wyder's pear cider and strongbow! i ordered a wyder's. after i finished it and asked for another, she said they were out of them. okay, so i ordered a strongbow. she came back and poured it into a glass for me. when i took a drink it was disgusting! it was boddington's! when i finally got her attention away from flirting with a man sitting at the bar to ask her for the correct drink, she told me they were out of strongbow too! how are you out of both drinks? you're a restaurant. shouldn't it be stocked? you're right across from a bevmo for god's sake! when we ordered our food, he ordered the app. then i ordered my entree and she walked away! she didn't even get his order! we figured it was probably for the best. we'd split the app and the entree and eat less. stupid of the waitress to lose money that way, but whatever. when she brought my food, she didn't bring the correct things. how hard is it to remember? she had maybe 4 tables to take care of! maybe if she stopped texting while she's behind the bar on her cell phone or if she'd stop having a conversation with the guy at the bar, maybe she could have done her job a little better.",2,Food Quality,0
"i have always been a fan of burlington's deals, however i will not be shopping at this one again. i went to return a belt. pretty simple. instead, i stood in the customer service line for 15 minutes thanks to an employee of burlington buying putting things on layaway. it took three other staff to help her out. there were no words said to me except ""hold on"". i was pissed. when the lady was finally done, the employee at the service asked ""what do you want?"" serious help is needed there! if you work in the area of ""customer service"" i think you should have some.",1,Service Delay,1
another night meeting friends here. i have to laugh. waited another 20 minutes for my beer to be refilled at the bar. a girl even took my empty without even asking if i wanted a refill. a new brunette girl that i don't recognize left the bar and sat down with her guy friends on the customer side at 9 25 on a friday night. another bartender had to ask her to come back and work. management. pull your head out of your ass! sad to watch. i need to talk my friends into another place!,1,Service Delay,1
"not busy at all but took nearly 45 min to get our meal. ordered the trout and was shocked to see lots and lots of bones. hmmmmm. well asked the waitress about it and she said ""they try the best they can"" hmmmmmm isn't this a ""fish"" restaurant? they comped the trout but still not sure i would go back.",1,Food Quality,0
"yikes, reading other reviews i realize my bad experience wasn't unique. as a server i make a very laid back customer. i like pretty much everything i eat and don't require a lot of attention from the waiter. la piccola cucina would benefit from just one extra person in the front of the house. our guy, though adorable and friendly, was too busy to refill our drinks and to remember to bring our appetizer though charged us for it . the ahi tuna highly recommended over the other fish options he said was so overcooked it was the color and consistency of chicken. like other reviewers mentioned, he was frantic and made that clear to every customer. at one point i even saw him in the kitchen cooking - they need another person! i left super stressed out from the experience, which is very, very unusual for me. you can either have bad service or bad food, but not both.",1,Food Quality,0
"this is my first year participating in arizona to sell clothing, just wandering how busy its goona be in there ? little worried, can any one reply me ?",1,General Dissatisfaction,5
