review_id,review_text,complaint_label,severity_label,stars,sentiment_label
RC000001,"Honestly, several things went wrong during our visit, from the wait time to the state of our table. I felt this was completely unacceptable and possibly dangerous. Between the slow service, the mediocre food, and the noise, the whole visit was a letdown.",General Dissatisfaction,Critical,1,Negative
RC000002,"The water park was reasonably clean, though a couple of tables could have used wiping down. It didn't blow me away, but it didn't disappoint either.",Cleanliness Issue,Medium,4,Neutral
RC000003,"I really wanted to like this place, but the ice cream sundae had ingredients I didn't order and hadn't asked for. I felt this was completely unacceptable and possibly dangerous. As if that wasn't enough, for the quality, the eatery is way overpriced compared to similar places nearby. I'm honestly considering filing a formal complaint over this.",Food Quality,Critical,1,Negative
RC000004,"This was my first time here, and there were way more people than the space could comfortably handle. I left feeling quite upset about the whole thing.",General Dissatisfaction,High,2,Negative
RC000005,"Overall it was an average experience at this dhaba, nothing stood out much either way. I'd probably give it another shot if I was in the area. I'd probably give it another shot if I was in the area.",General Dissatisfaction,Low,3,Neutral
RC000006,"Honestly, my bill had items on it that I never ordered. I'm honestly considering filing a formal complaint over this.",Pricing Issue,Critical,1,Negative
RC000007,"I really wanted to like this place, but several things went wrong during our visit, from the wait time to the state of our table. It definitely affected the overall experience. Between the slow service, the mediocre food, and the noise, the whole visit was a letdown.",General Dissatisfaction,Medium,2,Negative
RC000008,"I have to say, the portion size of the ramen bowl was tiny for the price we paid. As if that wasn't enough, the washroom was in a pretty poor state, no soap and a dirty sink. It left me a bit disappointed, honestly.",Food Quality,Medium,3,Neutral
RC000009,"This was my first time here, and overall the experience at this electronics store just felt underwhelming.",General Dissatisfaction,Low,2,Negative
RC000010,"Honestly, the manager personally checked in on us, which was a really nice touch. We'll be back again for sure.",Staff Behavior,Low,5,Positive
RC000011,"I have to say, there were flies swarming around the food display, it was honestly disgusting. This crossed a line and needs to be addressed urgently. A cockroach crawled out from under our table while we were eating. I am seriously considering never returning and warning others. In addition, the nail studio clearly left the ramen bowl on the heat too long, it was practically charred. I'm honestly considering filing a formal complaint over this.",Cleanliness Issue,Critical,1,Negative
RC000012,"This was my first time here, and I ordered the paneer tikka but received something completely different.",Food Quality,High,2,Negative
RC000013,Getting the bill alone took almost 20 minutes after we asked for it. It slightly took away from the experience. It took forever for anyone to even come take our order.,Service Delay,Low,3,Neutral
RC000014,"Honestly, the stylist walked past our table repeatedly without ever checking on us. It slightly took away from the experience. I stood at the counter for several minutes before anyone even acknowledged me. It slightly took away from the experience.",Staff Behavior,Low,3,Neutral
